# dt = 0.00020 ps ; n_timesteps = 10000
# masses = [1.66e-03, 1.24e-03, 1.66e-03] m_asu ; kappa = 9.9825e+01 m_asu ps^(-2)
# t[ps], q_1[Å], q_2[Å], q_3[Å], v_1[Å/ps], v_2[Å/ps], v_3[Å/ps], E_kin[eV], E_pot[eV]
0.00000e+00, 1.00000e-02, 5.00000e-03, -2.00000e-02, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 3.24432e-02 
2.00000e-04, 9.99398e-03, 4.96792e-03, -1.99699e-02, -6.03600e-02, -3.20070e-01, 3.00641e-01, 1.41718e-04, 3.23013e-02 
4.00000e-04, 9.97586e-03, 4.87197e-03, -1.98797e-02, -1.21345e-01, -6.37315e-01, 5.99788e-01, 5.63262e-04, 3.18791e-02 
6.00000e-04, 9.94544e-03, 4.71300e-03, -1.97300e-02, -1.83573e-01, -9.48938e-01, 8.95956e-01, 1.25392e-03, 3.11873e-02 
8.00000e-04, 9.90243e-03, 4.49240e-03, -1.95214e-02, -2.47644e-01, -1.25219e+00, 1.18768e+00, 2.19622e-03, 3.02435e-02 
1.00000e-03, 9.84638e-03, 4.21212e-03, -1.92549e-02, -3.14135e-01, -1.54439e+00, 1.47353e+00, 3.36646e-03, 2.90715e-02 
1.20000e-03, 9.77677e-03, 3.87464e-03, -1.89319e-02, -3.83587e-01, -1.82296e+00, 1.75211e+00, 4.73548e-03, 2.77003e-02 
1.40000e-03, 9.69295e-03, 3.48294e-03, -1.85541e-02, -4.56506e-01, -2.08545e+00, 2.02208e+00, 6.26956e-03, 2.61639e-02 
1.60000e-03, 9.59417e-03, 3.04046e-03, -1.81231e-02, -5.33348e-01, -2.32953e+00, 2.28217e+00, 7.93144e-03, 2.44995e-02 
1.80000e-03, 9.47961e-03, 2.55112e-03, -1.76412e-02, -6.14515e-01, -2.55307e+00, 2.53114e+00, 9.68153e-03, 2.27469e-02 
2.00000e-03, 9.34836e-03, 2.01924e-03, -1.71107e-02, -7.00350e-01, -2.75407e+00, 2.76787e+00, 1.14791e-02, 2.09468e-02 
2.20000e-03, 9.19947e-03, 1.44950e-03, -1.65341e-02, -7.91131e-01, -2.93077e+00, 2.99131e+00, 1.32834e-02, 1.91400e-02 
2.40000e-03, 9.03191e-03, 8.46928e-04, -1.59141e-02, -8.87065e-01, -3.08162e+00, 3.20048e+00, 1.50551e-02, 1.73660e-02 
2.60000e-03, 8.84464e-03, 2.16850e-04, -1.52539e-02, -9.88283e-01, -3.20527e+00, 3.39453e+00, 1.67573e-02, 1.56617e-02 
2.80000e-03, 8.63660e-03, -4.35178e-04, -1.45563e-02, -1.09484e+00, -3.30064e+00, 3.57268e+00, 1.83566e-02, 1.40606e-02 
3.00000e-03, 8.40671e-03, -1.10340e-03, -1.38248e-02, -1.20671e+00, -3.36688e+00, 3.73428e+00, 1.98239e-02, 1.25918e-02 
3.20000e-03, 8.15392e-03, -1.78193e-03, -1.30626e-02, -1.32378e+00, -3.40342e+00, 3.87878e+00, 2.11355e-02, 1.12790e-02 
3.40000e-03, 7.87720e-03, -2.46477e-03, -1.22733e-02, -1.44586e+00, -3.40993e+00, 4.00574e+00, 2.22734e-02, 1.01404e-02 
3.60000e-03, 7.57557e-03, -3.14590e-03, -1.14603e-02, -1.57267e+00, -3.38634e+00, 4.11485e+00, 2.32255e-02, 9.18790e-03 
3.80000e-03, 7.24813e-03, -3.81931e-03, -1.06273e-02, -1.70384e+00, -3.33288e+00, 4.20589e+00, 2.39864e-02, 8.42712e-03 
4.00000e-03, 6.89403e-03, -4.47905e-03, -9.77796e-03, -1.83894e+00, -3.25001e+00, 4.27878e+00, 2.45564e-02, 7.85753e-03 
4.20000e-03, 6.51255e-03, -5.11932e-03, -8.91582e-03, -1.97744e+00, -3.13847e+00, 4.33354e+00, 2.49420e-02, 7.47261e-03 
4.40000e-03, 6.10306e-03, -5.73444e-03, -8.04455e-03, -2.11873e+00, -2.99923e+00, 4.37030e+00, 2.51552e-02, 7.26044e-03 
4.60000e-03, 5.66506e-03, -6.31901e-03, -7.16770e-03, -2.26215e+00, -2.83352e+00, 4.38932e+00, 2.52127e-02, 7.20430e-03 
4.80000e-03, 5.19820e-03, -6.86785e-03, -6.28882e-03, -2.40693e+00, -2.64282e+00, 4.39094e+00, 2.51350e-02, 7.28350e-03 
5.00000e-03, 4.70229e-03, -7.37613e-03, -5.41133e-03, -2.55229e+00, -2.42879e+00, 4.37563e+00, 2.49457e-02, 7.47435e-03 
5.20000e-03, 4.17728e-03, -7.83937e-03, -4.53857e-03, -2.69735e+00, -2.19334e+00, 4.34392e+00, 2.46705e-02, 7.75120e-03 
5.40000e-03, 3.62334e-03, -8.25347e-03, -3.67376e-03, -2.84120e+00, -1.93853e+00, 4.29648e+00, 2.43359e-02, 8.08747e-03 
5.60000e-03, 3.04080e-03, -8.61478e-03, -2.81998e-03, -2.98287e+00, -1.66661e+00, 4.23402e+00, 2.39681e-02, 8.45682e-03 
5.80000e-03, 2.43020e-03, -8.92011e-03, -1.98015e-03, -3.12137e+00, -1.37999e+00, 4.15736e+00, 2.35922e-02, 8.83417e-03 
6.00000e-03, 1.79226e-03, -9.16678e-03, -1.15703e-03, -3.25568e+00, -1.08120e+00, 4.06735e+00, 2.32309e-02, 9.19672e-03 
6.20000e-03, 1.12792e-03, -9.35259e-03, -3.53207e-04, -3.38476e+00, -7.72860e-01, 3.96495e+00, 2.29038e-02, 9.52484e-03 
6.40000e-03, 4.38353e-04, -9.47592e-03, 4.28948e-04, -3.50754e+00, -4.57704e-01, 3.85114e+00, 2.26265e-02, 9.80281e-03 
6.60000e-03, -2.75092e-04, -9.53567e-03, 1.18725e-03, -3.62298e+00, -1.38509e-01, 3.72696e+00, 2.24103e-02, 1.00194e-02 
6.80000e-03, -1.01084e-03, -9.53132e-03, 1.91973e-03, -3.73003e+00, 1.81908e-01, 3.59346e+00, 2.22613e-02, 1.01685e-02 
7.00000e-03, -1.76710e-03, -9.46291e-03, 2.62464e-03, -3.82765e+00, 5.00720e-01, 3.45175e+00, 2.21807e-02, 1.02488e-02 
7.20000e-03, -2.54190e-03, -9.33104e-03, 3.30043e-03, -3.91486e+00, 8.15113e-01, 3.30294e+00, 2.21646e-02, 1.02644e-02 
7.40000e-03, -3.33304e-03, -9.13687e-03, 3.94581e-03, -3.99067e+00, 1.12231e+00, 3.14813e+00, 2.22040e-02, 1.02241e-02 
7.60000e-03, -4.13817e-03, -8.88211e-03, 4.55968e-03, -4.05417e+00, 1.41961e+00, 2.98845e+00, 2.22854e-02, 1.01416e-02 
7.80000e-03, -4.95471e-03, -8.56902e-03, 5.14119e-03, -4.10449e+00, 1.70439e+00, 2.82498e+00, 2.23916e-02, 1.00341e-02 
8.00000e-03, -5.77996e-03, -8.20036e-03, 5.68968e-03, -4.14082e+00, 1.97412e+00, 2.65882e+00, 2.25021e-02, 9.92220e-03 
8.20000e-03, -6.61104e-03, -7.77937e-03, 6.20472e-03, -4.16243e+00, 2.22643e+00, 2.49101e+00, 2.25940e-02, 9.82879e-03 
8.40000e-03, -7.44493e-03, -7.30978e-03, 6.68608e-03, -4.16865e+00, 2.45910e+00, 2.32256e+00, 2.26432e-02, 9.77801e-03 
8.60000e-03, -8.27850e-03, -6.79573e-03, 7.13374e-03, -4.15891e+00, 2.67007e+00, 2.15444e+00, 2.26255e-02, 9.79430e-03 
8.80000e-03, -9.10850e-03, -6.24175e-03, 7.54786e-03, -4.13272e+00, 2.85748e+00, 1.98756e+00, 2.25172e-02, 9.90125e-03 
9.00000e-03, -9.93159e-03, -5.65274e-03, 7.92877e-03, -4.08970e+00, 3.01968e+00, 1.82278e+00, 2.22967e-02, 1.01206e-02 
9.20000e-03, -1.07444e-02, -5.03388e-03, 8.27697e-03, -4.02956e+00, 3.15523e+00, 1.66088e+00, 2.19452e-02, 1.04711e-02 
