# dt = 0.00020 ps ; n_timesteps = 10000
# masses = [1.66e-03, 1.24e-03, 1.66e-03] m_asu ; kappa = 9.9825e+01 m_asu ps^(-2)
# f[1/ps], p_1[Å^-2], p_2[Å^-2], p_3[Å^-2]
-2.49975e+03, 6.43619e-11, 4.88085e-09, 1.97355e-09 
-2.49925e+03, 6.43619e-11, 4.88085e-09, 1.97356e-09 
-2.49875e+03, 6.43620e-11, 4.88085e-09, 1.97356e-09 
-2.49825e+03, 6.43620e-11, 4.88085e-09, 1.97356e-09 
-2.49775e+03, 6.43621e-11, 4.88086e-09, 1.97356e-09 
-2.49725e+03, 6.43621e-11, 4.88086e-09, 1.97356e-09 
-2.49675e+03, 6.43622e-11, 4.88087e-09, 1.97356e-09 
-2.49625e+03, 6.43623e-11, 4.88088e-09, 1.97357e-09 
-2.49575e+03, 6.43624e-11, 4.88088e-09, 1.97357e-09 
-2.49525e+03, 6.43625e-11, 4.88089e-09, 1.97357e-09 
-2.49475e+03, 6.43627e-11, 4.88090e-09, 1.97358e-09 
-2.49425e+03, 6.43628e-11, 4.88091e-09, 1.97358e-09 
-2.49375e+03, 6.43630e-11, 4.88092e-09, 1.97359e-09 
-2.49325e+03, 6.43631e-11, 4.88094e-09, 1.97359e-09 
-2.49275e+03, 6.43633e-11, 4.88095e-09, 1.97360e-09 
-2.49225e+03, 6.43635e-11, 4.88096e-09, 1.97360e-09 
-2.49175e+03, 6.43637e-11, 4.88098e-09, 1.97361e-09 
-2.49125e+03, 6.43640e-11, 4.88100e-09, 1.97361e-09 
-2.49075e+03, 6.43642e-11, 4.88101e-09, 1.97362e-09 
-2.49025e+03, 6.43644e-11, 4.88103e-09, 1.97363e-09 
-2.48975e+03, 6.43647e-11, 4.88105e-09, 1.97364e-09 
-2.48925e+03, 6.43650e-11, 4.88107e-09, 1.97365e-09 
-2.48875e+03, 6.43653e-11, 4.88109e-09, 1.97365e-09 
-2.48825e+03, 6.43656e-11, 4.88112e-09, 1.97366e-09 
-2.48775e+03, 6.43659e-11, 4.88114e-09, 1.97367e-09 
-2.48725e+03, 6.43662e-11, 4.88116e-09, 1.97368e-09 
-2.48675e+03, 6.43666e-11, 4.88119e-09, 1.97369e-09 
-2.48625e+03, 6.43669e-11, 4.88121e-09, 1.97370e-09 
-2.48575e+03, 6.43673e-11, 4.88124e-09, 1.97371e-09 
-2.48525e+03, 6.43677e-11, 4.88127e-09, 1.97372e-09 
-2.48475e+03, 6.43681e-11, 4.88130e-09, 1.97374e-09 
-2.48425e+03, 6.43685e-11, 4.88133e-09, 1.97375e-09 
-2.48375e+03, 6.43689e-11, 4.88136e-09, 1.97376e-09 
-2.48325e+03, 6.43694e-11, 4.88139e-09, 1.97377e-09 
-2.48275e+03, 6.43698e-11, 4.88142e-09, 1.97379e-09 
-2.48225e+03, 6.43703e-11, 4.88146e-09, 1.97380e-09 
-2.48175e+03, 6.43708e-11, 4.88149e-09, 1.97382e-09 
-2.48125e+03, 6.43713e-11, 4.88153e-09, 1.97383e-09 
-2.48075e+03, 6.43718e-11, 4.88157e-09, 1.97384e-09 
-2.48025e+03, 6.43723e-11, 4.88160e-09, 1.97386e-09 
-2.47975e+03, 6.43728e-11, 4.88164e-09, 1.97388e-09 
-2.47925e+03, 6.43734e-11, 4.88168e-09, 1.97389e-09 
-2.47875e+03, 6.43739e-11, 4.88172e-09, 1.97391e-09 
-2.47825e+03, 6.43745e-11, 4.88176e-09, 1.97392e-09 
-2.47775e+03, 6.43751e-11, 4.88181e-09, 1.97394e-09 
-2.47725e+03, 6.43757e-11, 4.88185e-09, 1.97396e-09 
-2.47675e+03, 6.43763e-11, 4.88189e-09, 1.97398e-09 
-2.47625e+03, 6.43769e-11, 4.88194e-09, 1.97400e-09 
-2.47575e+03, 6.43775e-11, 4.88199e-09, 1.97401e-09 
-2.47525e+03, 6.43782e-11, 4.88203e-09, 1.97403e-09 
-2.47475e+03, 6.43789e-11, 4.88208e-09, 1.97405e-09 
-2.47425e+03, 6.43795e-11, 4.88213e-09, 1.97407e-09 
-2.47375e+03, 6.43802e-11, 4.88218e-09, 1.97409e-09 
-2.47325e+03, 6.43809e-11, 4.88223e-09, 1.97411e-09 
-2.47275e+03, 6.43816e-11, 4.88229e-09, 1.97414e-09 
-2.47225e+03, 6.43824e-11, 4.88234e-09, 1.97416e-09 
-2.47175e+03, 6.43831e-11, 4.88239e-09, 1.97418e-09 
-2.47125e+03, 6.43839e-11, 4.88245e-09, 1.97420e-09 
-2.47075e+03, 6.43846e-11, 4.88250e-09, 1.97422e-09 
-2.47025e+03, 6.43854e-11, 4.88256e-09, 1.97425e-09 
-2.46975e+03, 6.43862e-11, 4.88262e-09, 1.97427e-09 
-2.46925e+03, 6.43870e-11, 4.88268e-09, 1.97429e-09 
-2.46875e+03, 6.43879e-11, 4.88274e-09, 1.97432e-09 
-2.46825e+03, 6.43887e-11, 4.88280e-09, 1.97434e-09 
-2.46775e+03, 6.43895e-11, 4.88286e-09, 1.97437e-09 
-2.46725e+03, 6.43904e-11, 4.88292e-09, 1.97439e-09 
-2.46675e+03, 6.43913e-11, 4.88299e-09, 1.97442e-09 
-2.46625e+03, 6.43922e-11, 4.88305e-09, 1.97445e-09 
-2.46575e+03, 6.43931e-11, 4.88312e-09, 1.97447e-09 
-2.46525e+03, 6.43940e-11, 4.88319e-09, 1.97450e-09 
-2.46475e+03, 6.43949e-11, 4.88325e-09, 1.97453e-09 
-2.46425e+03, 6.43959e-11, 4.88332e-09, 1.97455e-09 
-2.46375e+03, 6.43968e-11, 4.88339e-09, 1.97458e-09 
-2.46325e+03, 6.43978e-11, 4.88346e-09, 1.97461e-09 
-2.46275e+03, 6.43988e-11, 4.88353e-09, 1.97464e-09 
-2.46225e+03, 6.43998e-11, 4.88361e-09, 1.97467e-09 
-2.46175e+03, 6.44008e-11, 4.88368e-09, 1.97470e-09 
-2.46125e+03, 6.44018e-11, 4.88376e-09, 1.97473e-09 
-2.46075e+03, 6.44028e-11, 4.88383e-09, 1.97476e-09 
-2.46025e+03, 6.44039e-11, 4.88391e-09, 1.97479e-09 
-2.45975e+03, 6.44050e-11, 4.88398e-09, 1.97482e-09 
-2.45925e+03, 6.44060e-11, 4.88406e-09, 1.97485e-09 
-2.45875e+03, 6.44071e-11, 4.88414e-09, 1.97489e-09 
-2.45825e+03, 6.44082e-11, 4.88422e-09, 1.97492e-09 
-2.45775e+03, 6.44093e-11, 4.88430e-09, 1.97495e-09 
