time, signal
0.000000,2.000000
0.050000,0.500002
0.100000,-0.500001
0.150000,0.499999
0.200000,-0.499993
0.250000,-2.000000
0.300000,-0.500011
0.350000,0.500003
0.400000,-0.499997
0.450000,0.499984
0.500000,2.000000
0.550000,0.500020
0.600000,-0.500005
0.650000,0.499994
0.700000,-0.499974
0.750000,-2.000000
0.800000,-0.500029
0.850000,0.500007
0.900000,-0.499992
0.950000,0.499965
1.000000,2.000000
1.050000,0.500038
1.100000,-0.500009
1.150000,0.499990
1.200000,-0.499956
1.250000,-2.000000
1.300000,-0.500047
1.350000,0.500012
1.400000,-0.499988
1.450000,0.499947
1.500000,2.000000
1.550000,0.500057
1.600000,-0.500014
1.650000,0.499986
1.700000,-0.499938
1.750000,-2.000000
1.800000,-0.500066
1.850000,0.500016
1.900000,-0.499984
1.950000,0.499929
2.000000,2.000000
2.050000,0.500075
2.100000,-0.500018
2.150000,0.499981
2.200000,-0.499920
2.250000,-2.000000
2.300000,-0.500084
2.350000,0.500020
2.400000,-0.499979
2.450000,0.499911
2.500000,2.000000
2.550000,0.500093
2.600000,-0.500022
2.650000,0.499977
2.700000,-0.499901
2.750000,-2.000000
2.800000,-0.500102
2.850000,0.500025
2.900000,-0.499975
2.950000,0.499892
3.000000,2.000000
3.050000,0.500111
3.100000,-0.500027
3.150000,0.499973
3.200000,-0.499883
3.250000,-2.000000
3.300000,-0.500121
3.350000,0.500029
3.400000,-0.499971
3.450000,0.499874
3.500000,2.000000
3.550000,0.500130
3.600000,-0.500031
3.650000,0.499969
3.700000,-0.499865
3.750000,-2.000000
3.800000,-0.500139
3.850000,0.500033
3.900000,-0.499966
3.950000,0.499856
4.000000,2.000000
4.050000,0.500148
4.100000,-0.500035
4.150000,0.499964
4.200000,-0.499847
4.250000,-2.000000
4.300000,-0.500157
4.350000,0.500037
4.400000,-0.499962
4.450000,0.499837
4.500000,2.000000
4.550000,0.500166
4.600000,-0.500040
4.650000,0.499960
4.700000,-0.499828
4.750000,-2.000000
4.800000,-0.500175
4.850000,0.500042
4.900000,-0.499958
4.950000,0.499819
5.000000,2.000000
5.050000,0.500184
5.100000,-0.500044
5.150000,0.499956
5.200000,-0.499810
5.250000,-2.000000
5.300000,-0.500194
5.350000,0.500046
5.400000,-0.499953
5.450000,0.499801
5.500000,2.000000
5.550000,0.500203
5.600000,-0.500048
5.650000,0.499951
5.700000,-0.499792
5.750000,-2.000000
5.800000,-0.500212
5.850000,0.500050
5.900000,-0.499949
5.950000,0.499783
6.000000,2.000000
6.050000,0.500221
6.100000,-0.500053
6.150000,0.499947
6.200000,-0.499774
6.250000,-2.000000
6.300000,-0.500230
6.350000,0.500055
6.400000,-0.499945
6.450000,0.499764
6.500000,2.000000
6.550000,0.500239
6.600000,-0.500057
6.650000,0.499943
6.700000,-0.499755
6.750000,-2.000000
6.800000,-0.500248
6.850000,0.500059
6.900000,-0.499940
6.950000,0.499746
7.000000,2.000000
7.050000,0.500257
7.100000,-0.500061
7.150000,0.499938
7.200000,-0.499737
7.250000,-2.000000
7.300000,-0.500267
7.350000,0.500063
7.400000,-0.499936
7.450000,0.499728
7.500000,2.000000
7.550000,0.500276
7.600000,-0.500066
7.650000,0.499934
7.700000,-0.499719
7.750000,-2.000000
7.800000,-0.500285
7.850000,0.500068
7.900000,-0.499932
7.950000,0.499710
8.000000,2.000000
8.050000,0.500294
8.100000,-0.500070
8.150000,0.499930
8.200000,-0.499701
8.250000,-2.000000
8.300000,-0.500303
8.350000,0.500072
8.400000,-0.499928
8.450000,0.499691
8.500000,2.000000
8.550000,0.500312
8.600000,-0.500074
8.650000,0.499925
8.700000,-0.499682
8.750000,-2.000000
8.800000,-0.500321
8.850000,0.500076
8.900000,-0.499923
8.950000,0.499673
9.000000,2.000000
9.050000,0.500331
9.100000,-0.500078
9.150000,0.499921
9.200000,-0.499664
9.250000,-2.000000
9.300000,-0.500340
9.350000,0.500081
9.400000,-0.499919
9.450000,0.499655
9.500000,2.000000
9.550000,0.500349
9.600000,-0.500083
9.650000,0.499917
9.700000,-0.499646
9.750000,-2.000000
9.800000,-0.500358
9.850000,0.500085
9.900000,-0.499915
9.950000,0.499637
10.000000,2.000000
10.050000,0.500367
10.100000,-0.500087
10.150000,0.499912
10.200000,-0.499627
10.250000,-2.000000
10.300000,-0.500376
10.350000,0.500089
10.400000,-0.499910
10.450000,0.499618
10.500000,2.000000
10.550000,0.500385
10.600000,-0.500091
10.650000,0.499908
10.700000,-0.499609
10.750000,-2.000000
10.800000,-0.500394
10.850000,0.500094
10.900000,-0.499906
10.950000,0.499600
11.000000,2.000000
11.050000,0.500404
11.100000,-0.500096
11.150000,0.499904
11.200000,-0.499591
11.250000,-2.000000
11.300000,-0.500413
11.350000,0.500098
11.400000,-0.499902
11.450000,0.499582
11.500000,2.000000
11.550000,0.500422
11.600000,-0.500100
11.650000,0.499899
11.700000,-0.499573
11.750000,-2.000000
11.800000,-0.500431
11.850000,0.500102
11.900000,-0.499897
11.950000,0.499564
12.000000,2.000000
12.050000,0.500440
12.100000,-0.500104
12.150000,0.499895
12.200000,-0.499554
12.250000,-2.000000
12.300000,-0.500449
12.350000,0.500106
12.400000,-0.499893
12.450000,0.499545
