walkers, Energy
200.000000, 0.500000
144.000000, 0.664252
138.000000, 0.767658
135.000000, 0.840491
135.000000, 0.889622
134.000000, 0.932643
137.000000, 0.954946
137.000000, 0.981970
139.000000, 0.998369
140.000000, 1.014999
141.000000, 1.029274
142.000000, 1.041629
144.000000, 1.048906
146.000000, 1.054645
150.000000, 1.052370
150.000000, 1.061959
151.000000, 1.067627
152.000000, 1.072593
155.000000, 1.070444
156.000000, 1.073936
159.000000, 1.070623
163.000000, 1.063662
164.000000, 1.065254
167.000000, 1.060504
171.000000, 1.052426
176.000000, 1.041149
177.000000, 1.040774
178.000000, 1.040220
179.000000, 1.039499
181.000000, 1.035856
183.000000, 1.032026
183.000000, 1.033458
184.000000, 1.032122
183.000000, 1.036110
189.000000, 1.021286
192.000000, 1.014220
195.000000, 1.007034
197.000000, 1.002275
200.000000, 0.994917
203.000000, 0.987472
204.000000, 0.984829
202.000000, 0.989514
205.000000, 0.982024
205.000000, 0.981737
208.000000, 0.974192
210.000000, 0.968972
215.000000, 0.956676
218.000000, 0.948978
219.000000, 0.945792
221.000000, 0.940321
224.000000, 0.932581
227.000000, 0.924818
227.000000, 0.923600
227.000000, 0.922405
228.000000, 0.919035
228.000000, 0.917844
230.000000, 0.912307
236.000000, 0.898205
236.000000, 0.896778
236.000000, 0.895375
237.000000, 0.891882
239.000000, 0.886289
241.000000, 0.880686
244.000000, 0.873020
246.000000, 0.867385
246.000000, 0.865792
248.000000, 0.860175
250.000000, 0.854554
254.000000, 0.844977
256.000000, 0.839323
256.000000, 0.837560
257.000000, 0.833872
258.000000, 0.830189
262.000000, 0.820752
265.000000, 0.813235
267.000000, 0.807600
269.000000, 0.801967
270.000000, 0.798187
272.000000, 0.792574
273.000000, 0.788793
278.000000, 0.777773
281.000000, 0.770374
283.000000, 0.764754
287.000000, 0.755645
290.000000, 0.748296
292.000000, 0.742674
292.000000, 0.740474
294.000000, 0.734886
296.000000, 0.729307
297.000000, 0.725418
300.000000, 0.718197
303.000000, 0.710994
304.000000, 0.707088
306.000000, 0.701559
309.000000, 0.694418
312.000000, 0.687298
313.000000, 0.683382
317.000000, 0.674724
320.000000, 0.667664
324.000000, 0.659079
324.000000, 0.656667
325.000000, 0.652738
327.000000, 0.647291
328.000000, 0.643377
330.000000, 0.637959
335.000000, 0.628056
336.000000, 0.624132
340.000000, 0.615791
341.000000, 0.611866
341.000000, 0.609418
343.000000, 0.604069
343.000000, 0.601639
346.000000, 0.594877
345.000000, 0.593899
346.000000, 0.590060
346.000000, 0.587677
348.000000, 0.582433
349.000000, 0.578631
353.000000, 0.570574
353.000000, 0.568187
357.000000, 0.560185
357.000000, 0.557791
359.000000, 0.552623
357.000000, 0.553038
357.000000, 0.550702
362.000000, 0.541430
362.000000, 0.539076
364.000000, 0.533985
365.000000, 0.530274
365.000000, 0.527942
366.000000, 0.524261
366.000000, 0.521954
367.000000, 0.518301
372.000000, 0.509253
372.000000, 0.506937
372.000000, 0.504639
373.000000, 0.501015
374.000000, 0.497401
373.000000, 0.496472
373.000000, 0.494230
376.000000, 0.487999
375.000000, 0.487092
374.000000, 0.486214
375.000000, 0.482690
375.000000, 0.480507
376.000000, 0.477008
376.000000, 0.474846
374.000000, 0.475366
373.000000, 0.474590
374.000000, 0.471160
374.000000, 0.469073
374.000000, 0.467000
376.000000, 0.462275
377.000000, 0.458884
378.000000, 0.455501
378.000000, 0.453448
377.000000, 0.452732
377.000000, 0.450713
378.000000, 0.447382
378.000000, 0.445380
377.000000, 0.444716
377.000000, 0.442747
378.000000, 0.439466
378.000000, 0.437513
377.000000, 0.436897
378.000000, 0.433651
379.000000, 0.430413
380.000000, 0.427182
381.000000, 0.423957
380.000000, 0.423365
380.000000, 0.421477
380.000000, 0.419600
380.000000, 0.417734
381.000000, 0.414565
381.000000, 0.412713
380.000000, 0.412186
382.000000, 0.407738
384.000000, 0.403299
385.000000, 0.400166
387.000000, 0.395746
390.000000, 0.390051
390.000000, 0.388206
391.000000, 0.385091
392.000000, 0.381982
392.000000, 0.380154
394.000000, 0.375790
393.000000, 0.375238
391.000000, 0.375983
390.000000, 0.375481
388.000000, 0.376285
388.000000, 0.374541
387.000000, 0.374096
388.000000, 0.371087
389.000000, 0.368083
390.000000, 0.365085
388.000000, 0.365943
389.000000, 0.362966
390.000000, 0.359994
390.000000, 0.358307
391.000000, 0.355349
391.000000, 0.353673
392.000000, 0.350728
392.000000, 0.349062
391.000000, 0.348682
394.000000, 0.343217
393.000000, 0.342834
394.000000, 0.339924
393.000000, 0.339557
393.000000, 0.337933
394.000000, 0.335046
393.000000, 0.334703
391.000000, 0.335653
393.000000, 0.331521
393.000000, 0.329935
393.000000, 0.328357
394.000000, 0.325515
394.000000, 0.323946
394.000000, 0.322383
392.000000, 0.323373
391.000000, 0.323114
390.000000, 0.322870
388.000000, 0.323930
386.000000, 0.325022
385.000000, 0.324844
384.000000, 0.324683
383.000000, 0.324537
381.000000, 0.325717
383.000000, 0.321680
382.000000, 0.321562
383.000000, 0.318842
381.000000, 0.320048
381.000000, 0.318653
377.000000, 0.322541
378.000000, 0.319856
379.000000, 0.317175
380.000000, 0.314497
379.000000, 0.314455
379.000000, 0.313106
379.000000, 0.311763
379.000000, 0.310426
379.000000, 0.309094
379.000000, 0.307768
378.000000, 0.307769
376.000000, 0.309111
